"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"123";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from Middle East (Gulf cooperation Council)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"124";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from North America_Canada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from Oceania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"126";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from Rest of Europe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";"aluminium, primary, ingot//[IAI Area, EU27 & EFTA] aluminium, ingot, primary, import from South America";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"128";"ammonia, liquid//[RER] ammonia production, partial oxidation, liquid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"129";"ammonia, liquid//[RER] ammonia production, steam reforming, liquid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"130";"ammonium bicarbonate//[RER] ammonium bicarbonate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"131";"ammonium carbonate//[RER] ammonium carbonate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"132";"ammonium chloride//[GLO] ammonium chloride production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"133";"ammonium nitrate, as N//[RER] ammonium nitrate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"134";"ammonium nitrite//[RER] ammonium nitrite production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"135";"ammonium sulfate, as N//[RER] ammonium sulfate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"136";"ammonium thiocyanate//[GLO] ammonium thiocyanate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"137";"anaerobic digestion plant, agricultural//[CH] anaerobic digestion plant construction, agricultural";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"138";"anaerobic digestion plant, agriculture, with methane recovery//[CH] anaerobic digestion plant construction, agriculture, with methane recovery";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";"anaerobic digestion plant, for biowaste//[CH] anaerobic digestion plant construction, for biowaste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"140";"anaerobic digestion plant, for sewage sludge//[CH] anaerobic digestion plant construction, for sewage sludge";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";"anhydrite floor//[CH] anhydrite floor production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
